Latitude,Longitude,Amenity
45.4531121,9.254386,fuel
45.46077,9.229031,fuel
45.43588,9.23171,fuel
45.456002,9.2264461,fuel
45.4569156,9.2411137,fuel
45.4654499,9.2352214,fuel
45.433741,9.261914,fuel
45.467475,9.225426,fuel
45.4514986,9.2177751,fuel
45.4394309,9.2247753,fuel
45.4496715,9.253031,fuel
45.4361376,9.2330093,fuel
45.424426,9.25258,fuel
45.456029,9.2300879,fuel
45.4524328,9.2482719,fuel
45.4243652,9.2496813,fuel
45.465993,9.226917,fuel
45.4501284,9.237563,recycling
45.4676802,9.2100342,pharmacy
45.4675161,9.213487,pharmacy
45.4675139,9.2152835,telephone
45.4676961,9.2227017,clinic
45.4677821,9.2228676,telephone
45.4674835,9.2234299,pharmacy
45.4656535,9.2213141,cafe
45.4547927,9.2164769,pub
45.4541489,9.2159819,restaurant
45.4558756,9.2056971,restaurant
45.4377429,9.2202272,drinking_water
45.4642402,9.2647178,toilets
45.4403912,9.2245851,pharmacy
45.4579694,9.2130712,drinking_water
45.4661627,9.2158498,police
45.4417643,9.2192915,bank
45.4433678,9.21776,bank
45.4454268,9.2129678,bank
45.4482227,9.2217984,theatre
45.440611,9.2178811,theatre
45.4405617,9.2175278,library
45.4489554,9.2110082,restaurant
45.4616401,9.2079373,cinema
45.4509905,9.2241225,drinking_water
45.4623402,9.2165141,telephone
45.4571654,9.2426606,bank
45.4593923,9.2165519,drinking_water
45.4623167,9.2281249,drinking_water
45.4544307,9.2135749,restaurant
45.4534733,9.2154232,fast_food
45.4535888,9.2148764,cafe
45.4620731,9.21983,bar
45.4560476,9.2050227,restaurant
45.4593444,9.2079474,restaurant
45.4574286,9.2220273,pharmacy
45.4566161,9.2235358,bank
45.4421086,9.2304175,cafe
45.4612043,9.2118913,restaurant
45.4315575,9.2450366,post_office
45.436159,9.2406837,fast_food
45.4360737,9.2399615,restaurant
45.4320489,9.2441254,pharmacy
45.4358912,9.2402861,bar
45.4357481,9.2406348,pharmacy
45.4380288,9.2436236,pub
45.4369113,9.2418632,cafe
45.4455154,9.2431072,post_office
45.4350027,9.2357673,drinking_water
45.4299182,9.2574378,parking_entrance
45.4284698,9.2549158,parking_entrance
45.4282197,9.2545198,parking_entrance
45.4301452,9.257861,parking_entrance
45.429321,9.2576931,parking_entrance
45.4502614,9.2128248,parking_entrance
45.4417478,9.218683,parking
45.4557377,9.2173558,pharmacy
45.4522965,9.220793,pharmacy
45.4392043,9.2162831,cafe
45.4387658,9.2161785,cafe
45.4389314,9.2161303,cafe
45.4402649,9.2219958,post_office
45.4619892,9.2283974,restaurant
45.4628035,9.2275554,restaurant
45.4619632,9.2279965,restaurant
45.4624149,9.227407,bank
45.4619637,9.2276161,bank
45.4623323,9.2329266,restaurant
45.4638732,9.2279976,post_office
45.4619906,9.2289756,pharmacy
45.4624369,9.2327984,vending_machine
45.4623717,9.2102351,fast_food
45.4605052,9.2094385,pharmacy
45.4623849,9.2104889,pharmacy
45.462398,9.2078194,pharmacy
45.4650309,9.2114668,pharmacy
45.4633974,9.2303916,bar
45.4676397,9.2248773,restaurant
45.4551759,9.2125108,cafe
45.4537105,9.2156412,restaurant
45.4523127,9.2201994,post_box
45.4444758,9.2144425,pharmacy
45.4545359,9.2147232,parking
45.4545265,9.2145515,bench
45.4544985,9.2145669,bicycle_parking
45.439838,9.2214511,atm
45.4497746,9.2206042,bank
45.4510346,9.2247088,pharmacy
45.4499602,9.2067428,bicycle_rental
45.4621603,9.2124871,bicycle_rental
45.4635044,9.2079437,post_office
45.4281368,9.2543688,parking
45.4629733,9.2387909,parking
45.4302669,9.2579801,parking
45.4654403,9.2075164,pharmacy
45.4389616,9.2245824,restaurant
45.4525484,9.2151177,restaurant
45.4535211,9.2161289,restaurant
45.4550526,9.2158714,cafe
45.4523978,9.2146671,pub
45.4549764,9.2129948,post_office
45.4475113,9.2128998,parking_entrance
45.4480306,9.2131747,parking_entrance
45.4623071,9.2163984,taxi
45.4541446,9.2063806,theatre
45.4521321,9.203347,restaurant
45.434703,9.236079,bicycle_parking
45.458827,9.224495,bicycle_parking
45.4493706,9.2532814,restaurant
45.4676975,9.2323004,pharmacy
45.4452943,9.2131972,bar
45.4448182,9.2139457,restaurant
45.4443722,9.2146724,cafe
45.4436991,9.2161064,restaurant
45.4431226,9.217368,restaurant
45.4432205,9.2171025,fast_food
45.4439582,9.2155414,cafe
45.433041,9.2311594,nightclub
45.4555763,9.2208217,bicycle_parking
45.4622195,9.2261552,bicycle_parking
45.4413383,9.2209419,bicycle_parking
