landuse,latitudes,longitudes
residential,[45.4415886],[9.2406431]
residential,"[45.4366319, 45.4364079, 45.4359638, 45.4359939, 45.4366995, 45.4372537, 45.4380195, 45.4379862, 45.4383581, 45.4393328, 45.4394308, 45.4395937, 45.4404077, 45.4405929, 45.4407425, 45.4413274, 45.4417161, 45.4420033, 45.442353, 45.4426286, 45.4427406, 45.4431281, 45.4432302, 45.4433317, 45.4434314, 45.4440498, 45.4442395, 45.4443494, 45.4444702, 45.4445273, 45.4445473, 45.4445437, 45.444484, 45.4443893, 45.444369, 45.4443191, 45.4442905, 45.442785, 45.4423394, 45.4413758, 45.4404763, 45.4384435, 45.4375845, 45.4366319]","[9.2659833, 9.2648059, 9.2630974, 9.2629498, 9.2627751, 9.2626312, 9.2624263, 9.2620568, 9.2618459, 9.2619075, 9.2619738, 9.2619996, 9.2617241, 9.2616821, 9.2616656, 9.261749, 9.2617557, 9.2617036, 9.2616795, 9.2616822, 9.2616512, 9.2611671, 9.260968, 9.2606153, 9.2605424, 9.2605639, 9.2605322, 9.261329, 9.2622402, 9.2628225, 9.2632061, 9.2634386, 9.2640141, 9.2652497, 9.2656612, 9.2659674, 9.2664649, 9.2663432, 9.2664119, 9.2660171, 9.2660286, 9.2660546, 9.2660169, 9.2659833]"
industrial,"[45.4502519, 45.4498418, 45.449451, 45.4484539, 45.448443, 45.4486963, 45.448975, 45.4489612, 45.4490978, 45.4498266, 45.4501535, 45.4508243, 45.4513665, 45.4514352, 45.4510882, 45.4510536, 45.4509855, 45.4510673, 45.4521009, 45.4528267, 45.4530824, 45.4531529, 45.4532855, 45.4539707, 45.454517, 45.4546294, 45.4548732, 45.4549726, 45.4553998, 45.4554903, 45.4557122, 45.4554588, 45.4557444, 45.4561785, 45.4567106, 45.4569327, 45.4565173, 45.4537062, 45.453101, 45.4529279, 45.4523844, 45.4519402, 45.4517298, 45.4510881, 45.4507968, 45.4502926, 45.4502519]","[9.2575163, 9.2577455, 9.2579461, 9.2556, 9.2555744, 9.2552385, 9.2548687, 9.2548367, 9.2546554, 9.2536635, 9.2532185, 9.2523144, 9.2515836, 9.2514963, 9.2509713, 9.2509234, 9.2508147, 9.2507036, 9.2493009, 9.2483341, 9.2479923, 9.247902, 9.247723, 9.2467978, 9.2476075, 9.2477742, 9.24814, 9.2482886, 9.24893, 9.2490581, 9.2493743, 9.2497257, 9.2501505, 9.2507968, 9.2515862, 9.251904, 9.2522379, 9.2546113, 9.2550962, 9.2552407, 9.2556946, 9.2560656, 9.2562413, 9.2567771, 9.2570204, 9.2573699, 9.2575163]"
commercial,"[45.456032, 45.4561335, 45.4561524, 45.4561504, 45.4560681, 45.448624, 45.4485321, 45.4481058, 45.4479807, 45.4477497, 45.4474383, 45.4471549, 45.4470911, 45.4470324, 45.4470119, 45.4474531, 45.4474407, 45.4474853, 45.4475174, 45.4475582, 45.4475991, 45.4476476, 45.447691, 45.4477369, 45.4477756, 45.4480401, 45.4480778, 45.4481178, 45.4481525, 45.4481901, 45.4482248, 45.4482565, 45.4482904, 45.4483243, 45.4483597, 45.4483914, 45.4484142, 45.4484315, 45.4484452, 45.4484613, 45.4484737, 45.4484899, 45.4485097, 45.4485271, 45.4485507, 45.4487787, 45.4487998, 45.4488258, 45.4488556, 45.4491336, 45.4496202, 45.4500386, 45.4544071, 45.4544071, 45.4548178, 45.4548182, 45.4553974, 45.456032]","[9.2296685, 9.2326863, 9.233182, 9.2332394, 9.2355558, 9.2349215, 9.2348488, 9.2344631, 9.2343248, 9.2339609, 9.2335152, 9.2327401, 9.2325091, 9.2322107, 9.2320179, 9.2305354, 9.2304757, 9.2304094, 9.2303692, 9.2303346, 9.2303091, 9.2302909, 9.2302837, 9.2302855, 9.2302974, 9.2304382, 9.2304544, 9.230464, 9.2304651, 9.2304587, 9.2304501, 9.2304382, 9.2304168, 9.2303888, 9.2303534, 9.2303115, 9.2302721, 9.2302244, 9.2301836, 9.2301129, 9.2300704, 9.2300226, 9.2299713, 9.2299412, 9.2299094, 9.2296446, 9.2296269, 9.2296127, 9.2296003, 9.229551, 9.2295447, 9.2295394, 9.2294751, 9.229564, 9.2295562, 9.2294698, 9.2294612, 9.2296685]"
residential,"[45.458546, 45.4585642, 45.4586351, 45.457496, 45.4561652, 45.4536254, 45.4536197, 45.4536106, 45.4536363, 45.4536856, 45.4541286, 45.4542543, 45.4544516, 45.45453, 45.4555527, 45.4556894, 45.4569197, 45.4581828, 45.458546]","[9.217563, 9.2236293, 9.2239331, 9.2239529, 9.2239693, 9.224006, 9.2216232, 9.2198421, 9.2197476, 9.2196633, 9.2188963, 9.2187597, 9.2184486, 9.2182852, 9.2169257, 9.2167526, 9.2172549, 9.217521, 9.217563]"
residential,"[45.46218, 45.4621936, 45.4621592, 45.4621516, 45.4621462, 45.4621488, 45.4619035, 45.4608653, 45.459269, 45.4591662, 45.4585888, 45.4584743, 45.4582736, 45.4571399, 45.4559264, 45.4553543, 45.4542773, 45.4528792, 45.456585, 45.4578034, 45.4582206, 45.4590025, 45.4598527, 45.4603211, 45.4604188, 45.4605753, 45.4607816, 45.46218]","[9.2077429, 9.207814, 9.2112231, 9.2129936, 9.214392, 9.2146504, 9.2146105, 9.2143999, 9.2140577, 9.213979, 9.2162193, 9.2166634, 9.2171259, 9.2168994, 9.2164751, 9.2161539, 9.2155246, 9.214408, 9.205196, 9.2058492, 9.2060942, 9.2067245, 9.2073996, 9.2077958, 9.2078518, 9.2078835, 9.2078815, 9.2077429]"
military,"[45.4573856, 45.4574944, 45.4575875, 45.4577109, 45.4577862, 45.4578628, 45.4579379, 45.4579761, 45.4579843, 45.4579919, 45.4577012, 45.4579629, 45.4579591, 45.457479, 45.4566121, 45.456514, 45.4568428, 45.4573856]","[9.2403556, 9.2403086, 9.2402814, 9.2402732, 9.240275, 9.2402914, 9.2403136, 9.2396806, 9.2395715, 9.2394775, 9.2385516, 9.238406, 9.2379244, 9.2378972, 9.2378952, 9.238123, 9.2389651, 9.2403556]"
grass,"[45.4678822, 45.4678898, 45.4678955, 45.4679008, 45.4679056, 45.467909, 45.4679114, 45.4679128, 45.4684113, 45.468418, 45.4684436, 45.4683925, 45.4682956, 45.4682211, 45.4682099, 45.4681976, 45.4681837, 45.4681699, 45.4681558, 45.4681409, 45.4681274, 45.4681159, 45.4681047, 45.468095, 45.4679866, 45.4679485, 45.4678822]","[9.234667, 9.2347097, 9.2347488, 9.2347886, 9.2348346, 9.2348863, 9.2349363, 9.2349808, 9.2349747, 9.2348142, 9.2346624, 9.2346632, 9.2346526, 9.2346542, 9.2346697, 9.234683, 9.2346928, 9.2346989, 9.2347015, 9.2347, 9.2346937, 9.2346853, 9.2346733, 9.2346589, 9.2346764, 9.2346639, 9.234667]"
residential,"[45.4607173, 45.4607452, 45.4603862, 45.4600988, 45.4600145, 45.4599971, 45.4599855, 45.4600377, 45.4600368, 45.4599661, 45.4599777, 45.4599807, 45.4599651, 45.4599464, 45.4598492, 45.4597134, 45.4597169, 45.4597172, 45.4606074, 45.4605876, 45.4605538, 45.4621134, 45.4619997, 45.4608727, 45.4607173]","[9.2351205, 9.2364106, 9.2359358, 9.235088, 9.2344895, 9.2341365, 9.2338415, 9.2336981, 9.2332998, 9.233301, 9.2331521, 9.2328564, 9.2317317, 9.2303868, 9.2303924, 9.2234955, 9.2219856, 9.2218679, 9.2218135, 9.2202766, 9.2176569, 9.2176302, 9.2351262, 9.2351064, 9.2351205]"
grass,"[45.4536328, 45.4532554, 45.4532029, 45.4535802, 45.4536328]","[9.2094752, 9.209179, 9.2093151, 9.2096114, 9.2094752]"
